Key,Context,Source,en-us
Studio.App.AudioPrivacyPublishDialog.AssetTable.AssetCreatorColTitle,,Creator,Creator
Studio.App.AudioPrivacyPublishDialog.AssetTable.AssetIdColTitle,,Asset ID,Asset ID
Studio.App.AudioPrivacyPublishDialog.AssetTable.AssetNameColTitle,Name of audio file in the place file,Audio Asset Name,Audio Asset Name
Studio.App.AudioPrivacyPublishDialog.CancelPublishButton,warning modal button that cancel the publish,Cancel Publish,Cancel Publish
Studio.App.AudioPrivacyPublishDialog.GrantAllPermissionsButton,warning modal button that grants the universe permission to all assets in the game,Grant All Permissions,Grant All Permissions
Studio.App.AudioPrivacyPublishDialog.NoPermissionsDescription,"Description of warning that users need to give their universe permission to use audio or else, their audio won't play in the experience they publsih","This experience has no permission to use some assets. Please consider granting permissions to the destination Experience. If you do not grant permissions, assets will not be available for this experience.","This experience has no permission to use some assets. Please consider granting permissions to the destination Experience. If you do not grant permissions, assets will not be available for this experience."
Studio.App.AudioPrivacyPublishDialog.NoPermissionsTitle,Description title for no permissions granted dialog pop-up that lets users know they have to grant audio permission,No permission to use Audio file(s),No permission to use Audio file(s)
Studio.App.AudioPrivacyPublishDialog.PermissionsGrantedDescription,Description for permissions successfully granted dialog and continue with publish,All asset permissions have been granted to this experience.,All asset permissions have been granted to this experience.
Studio.App.AudioPrivacyPublishDialog.PermissionsGrantedTitle,Description title for permissions successfully granted dialog,All permissions have been granted!,All permissions have been granted!
Studio.App.AudioPrivacyPublishDialog.PermissionsNotGrantedDescription,Description of dialog with assets that cannot be granted permission by the user. Have options to publish without permissions or cancel publish,"You don't have the ability to grant permissions for assets below. Please reach out to the asset creator to grant permissions to this experience, or these assets will not be available.","You don't have the ability to grant permissions for assets below. Please reach out to the asset creator to grant permissions to this experience, or these assets will not be available."
Studio.App.AudioPrivacyPublishDialog.PermissionsNotGrantedTitle,Description title for permissions cannot be granted dialog to some assets by the user,You cannot grant permissions for some assets,You cannot grant permissions for some assets
Studio.App.AudioPrivacyPublishDialog.PublishAndGrantPermissionButton,warning modal button that grants the universe permission to all assets in the game during publish,Grant Permissions,Grant Permissions
Studio.App.AudioPrivacyPublishDialog.PublishToRobloxButton,warning modal button that publishes game after granting permission,Publish to Roblox,Publish to Roblox
Studio.App.AudioPrivacyPublishDialog.PublishWithoutGrantingButton,warning modal button that publishes game without granting permission,Publish without Permissions,Publish without Permissions
Studio.App.AudioPrivacyPublishDialog.PublishWithoutPermissionButton,warning modal button that publishes game without granting permission,Publish without Granting,Publish without Granting
Studio.App.AudioPrivacyPublishDialog.WarningDescription,"Description of warning that users need to give their universe permission to use audio or else, their audio won't play in the experience they publsih","You are publishing an Experience that includes assets that may be private. Please consider granting access to the destination Experience. If you do not grant access, any private assets will not work.","You are publishing an Experience that includes assets that may be private. Please consider granting access to the destination Experience. If you do not grant access, any private assets will not work."
Studio.App.AudioPrivacyPublishDialog.WarningTitle,Description title for warning pop-up that lets users know they have to grant audio permissions,Be aware before publishing,Be aware before publishing
